PC1,PC2,sample_id,file_uuid,File ID,File Name,Data Category,Data Type,Project ID,Case ID,Sample ID,Tissue Type,Tumor Descriptor,Specimen Type,Preservation Method
79.5376806490325,-66.01467777567845,efd7b9eb-0e43-473c-8b68-e8f2dba08dda.rna_seq.augmented_star_gene_counts.tsv,efd7b9eb-0e43-473c-8b68-e8f2dba08dda,7213c904-a65f-4061-8f3a-1357bb8c1d4d,efd7b9eb-0e43-473c-8b68-e8f2dba08dda.rna_seq.augmented_star_gene_counts.tsv,Transcriptome Profiling,Gene Expression Quantification,CPTAC-3,C3L-02350,C3L-02350-06,Normal,Not Applicable,Solid Tissue,Snap Frozen
59.96538004585492,43.72217199708197,0318827f-9da0-474c-b7e2-23ffa97c6308.rna_seq.augmented_star_gene_counts.tsv,0318827f-9da0-474c-b7e2-23ffa97c6308,d7196d8a-0e5b-4358-9ce7-42bc765dc461,0318827f-9da0-474c-b7e2-23ffa97c6308.rna_seq.augmented_star_gene_counts.tsv,Transcriptome Profiling,Gene Expression Quantification,CPTAC-3,C3L-01107,C3L-01107-07,Normal,Not Applicable,Solid Tissue,Snap Frozen
46.76899257846222,13.239533118159029,cdc2bb66-8eb5-4281-8001-72c0fa2afa84.rna_seq.augmented_star_gene_counts.tsv,cdc2bb66-8eb5-4281-8001-72c0fa2afa84,3bde6ea0-faf8-4542-9f81-e44b2445e04e,cdc2bb66-8eb5-4281-8001-72c0fa2afa84.rna_seq.augmented_star_gene_counts.tsv,Transcriptome Profiling,Gene Expression Quantification,CPTAC-3,C3L-02208,C3L-02208-02,Normal,Not Applicable,Solid Tissue,Snap Frozen
-48.42982825990376,-2.877476608897962,87ebb940-db9d-45f4-abe6-a2b6bb976034.rna_seq.augmented_star_gene_counts.tsv,87ebb940-db9d-45f4-abe6-a2b6bb976034,6f304ec1-d4ad-4cfe-80a2-2036b3871ae6,87ebb940-db9d-45f4-abe6-a2b6bb976034.rna_seq.augmented_star_gene_counts.tsv,Transcriptome Profiling,Gene Expression Quantification,HCMI-CMDC,HCM-EXPT-0980-C50,HCM-EXPT-0980-C50-01A,Tumor,Primary,Solid Tissue,Frozen
85.85340930865482,-48.44499169117279,f61e0f26-a020-4916-945d-6210ceee459a.rna_seq.augmented_star_gene_counts.tsv,f61e0f26-a020-4916-945d-6210ceee459a,50b65b22-9ade-4291-aad4-ae34c9a215e1,f61e0f26-a020-4916-945d-6210ceee459a.rna_seq.augmented_star_gene_counts.tsv,Transcriptome Profiling,Gene Expression Quantification,CPTAC-3,C3N-02426,C3N-02426-03,Normal,Not Applicable,Solid Tissue,Snap Frozen
-12.39954491799179,-13.171580847581769,a10b1539-57e3-4419-adff-32bd7fa3e54e.rna_seq.augmented_star_gene_counts.tsv,a10b1539-57e3-4419-adff-32bd7fa3e54e,41e72dd4-98c3-4b54-9649-24d42ca56f23,a10b1539-57e3-4419-adff-32bd7fa3e54e.rna_seq.augmented_star_gene_counts.tsv,Transcriptome Profiling,Gene Expression Quantification,CPTAC-3,C3L-07090,C3L-07090-06,Normal,Not Applicable,Solid Tissue,Snap Frozen
-169.93755524752245,13.219550986301842,b08d3099-f439-4ebf-8a07-26f466709e3d.rna_seq.augmented_star_gene_counts.tsv,b08d3099-f439-4ebf-8a07-26f466709e3d,1f73ac27-860f-4b78-a1a6-c524fd6920c4,b08d3099-f439-4ebf-8a07-26f466709e3d.rna_seq.augmented_star_gene_counts.tsv,Transcriptome Profiling,Gene Expression Quantification,HCMI-CMDC,HCM-CSHL-1263-C24,HCM-CSHL-1263-C24-85M,Tumor,Metastatic,3D Organoid,Frozen
-65.21445358677664,-35.61384213135061,dcd92f62-bed1-4718-a918-6eda2855366a.rna_seq.augmented_star_gene_counts.tsv,dcd92f62-bed1-4718-a918-6eda2855366a,70f17418-6373-4928-ac14-64c61fa0650a,dcd92f62-bed1-4718-a918-6eda2855366a.rna_seq.augmented_star_gene_counts.tsv,Transcriptome Profiling,Gene Expression Quantification,HCMI-CMDC,HCM-EXPT-1227-C18,HCM-EXPT-1227-C18-01A,Tumor,Primary,Solid Tissue,Frozen
46.34281057580455,21.626520654751097,e8e82b00-3690-4dbd-a159-a3669f2eebef.rna_seq.augmented_star_gene_counts.tsv,e8e82b00-3690-4dbd-a159-a3669f2eebef,c86026a8-2f4a-46f3-bccf-1cb49ada2480,e8e82b00-3690-4dbd-a159-a3669f2eebef.rna_seq.augmented_star_gene_counts.tsv,Transcriptome Profiling,Gene Expression Quantification,CPTAC-3,C3L-00011,C3L-00011-06,Normal,Not Applicable,Solid Tissue,Snap Frozen
-72.91647277411676,1.8483092498384806,83128eeb-a9b2-4af9-abfa-7992b292e198.rna_seq.augmented_star_gene_counts.tsv,83128eeb-a9b2-4af9-abfa-7992b292e198,b924b26d-59a5-4977-9035-16e8738da4d8,83128eeb-a9b2-4af9-abfa-7992b292e198.rna_seq.augmented_star_gene_counts.tsv,Transcriptome Profiling,Gene Expression Quantification,HCMI-CMDC,HCM-EXPT-1226-C18,HCM-EXPT-1226-C18-01A,Tumor,Primary,Solid Tissue,Frozen
-98.24681203241569,52.99239035978715,3a7fd71e-9336-46e0-8106-3df32aed7c20.rna_seq.augmented_star_gene_counts.tsv,3a7fd71e-9336-46e0-8106-3df32aed7c20,6eec8fd8-772f-4ffc-b591-193227f9477b,3a7fd71e-9336-46e0-8106-3df32aed7c20.rna_seq.augmented_star_gene_counts.tsv,Transcriptome Profiling,Gene Expression Quantification,HCMI-CMDC,HCM-BROD-0796-C71,HCM-BROD-0796-C71-85A,Tumor,Primary,3D Neurosphere,Frozen
-136.9154778006263,5.3469641291880565,3224f56e-b5c9-46ff-946b-8f854a87459b.rna_seq.augmented_star_gene_counts.tsv,3224f56e-b5c9-46ff-946b-8f854a87459b,6488bc5f-629c-4155-a586-732e09e189be,3224f56e-b5c9-46ff-946b-8f854a87459b.rna_seq.augmented_star_gene_counts.tsv,Transcriptome Profiling,Gene Expression Quantification,HCMI-CMDC,HCM-BROD-1131-C06,HCM-BROD-1131-C06-85B,Tumor,Primary,Adherent Cell Line,Frozen
-102.06990922263034,58.83460241123989,0be2ec01-cff4-4ca3-940c-1c562127784e.rna_seq.augmented_star_gene_counts.tsv,0be2ec01-cff4-4ca3-940c-1c562127784e,8a500011-becb-48ce-a0f4-4b3cf1b1bbaa,0be2ec01-cff4-4ca3-940c-1c562127784e.rna_seq.augmented_star_gene_counts.tsv,Transcriptome Profiling,Gene Expression Quantification,HCMI-CMDC,HCM-CSHL-0853-C56,HCM-CSHL-0853-C56-85B,Tumor,Metastatic,3D Organoid,Frozen
